Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Willie Mitchell,FLA,66,,3,,5,,8,,1,,25,,99,,144,,0,,0,,N/A,,0,,0,,0,,1,,0,,78,,0.038
Mark Fayne,EDM,74,,2,,6,,8,,-21,,14,,81,,125,,0,,0,,N/A,,0,,0,,0,,2,,0,,78,,0.026
Brenden Morrow,TAM,70,,3,,5,,8,,-1,,64,,112,,16,,0,,0,,N/A,,0,,0,,0,,0,,0,,28,,0.107
Teemu Pulkkinen,DET,31,,5,,3,,8,,5,,10,,3,,4,,0,,0,,N/A,,1,,1,,0,,0,,2,,67,,0.075
Colin McDonald,PHI,18,,2,,6,,8,,-3,,0,,72,,6,,2,,2,,0.5,,0,,0,,0,,0,,0,,29,,0.069
Tomas Kopecky,CHI,64,,2,,6,,8,,-19,,28,,88,,22,,3,,1,,0.75,,0,,0,,0,,0,,1,,106,,0.019
Joakim Andersson,DET,68,,3,,5,,8,,-4,,22,,27,,24,,192,,183,,0.512,,0,,0,,0,,0,,1,,74,,0.041
Matt Tennyson,SAN,27,,2,,6,,8,,0,,16,,48,,34,,0,,0,,N/A,,1,,1,,0,,1,,0,,37,,0.054
Daniel Carcillo,CHI,39,,4,,4,,8,,3,,54,,36,,7,,0,,1,,0,,0,,0,,0,,0,,0,,42,,0.095
Dylan Olsen,FLA,44,,2,,6,,8,,-7,,20,,77,,52,,0,,0,,N/A,,0,,1,,0,,0,,0,,44,,0.045
Craig Cunningham,ARI,51,,3,,4,,7,,-7,,4,,107,,31,,69,,67,,0.507,,0,,0,,1,,0,,0,,54,,0.056
Tye McGinn,TAM,51,,2,,5,,7,,0,,21,,71,,17,,1,,1,,0.5,,0,,0,,0,,0,,0,,60,,0.033
Tim Jackman,ANA,55,,5,,2,,7,,-4,,86,,110,,19,,10,,4,,0.714,,0,,0,,0,,0,,1,,55,,0.091
Derrick Pouliot,PIT,34,,2,,5,,7,,-11,,4,,15,,20,,0,,0,,N/A,,1,,3,,0,,0,,2,,56,,0.036
Chris Neil,OTT,38,,4,,3,,7,,5,,78,,136,,11,,3,,2,,0.6,,1,,0,,0,,0,,0,,23,,0.174
Nick Shore,LOS,34,,1,,6,,7,,0,,10,,51,,14,,127,,109,,0.538,,0,,1,,0,,0,,0,,33,,0.03
Nikita Nesterov,TAM,27,,2,,5,,7,,6,,16,,42,,17,,0,,0,,N/A,,1,,1,,0,,0,,0,,44,,0.045
Craig Adams,PIT,70,,1,,6,,7,,-1,,44,,183,,29,,17,,23,,0.425,,0,,0,,0,,1,,1,,51,,0.02
Mark Barberio,MON,52,,1,,6,,7,,-4,,16,,35,,46,,0,,0,,N/A,,0,,0,,0,,0,,0,,53,,0.019
Tim Erixon,PIT,42,,2,,5,,7,,-7,,14,,34,,32,,0,,0,,N/A,,1,,4,,0,,0,,0,,36,,0.056
Nate Prosser,MIN,63,,2,,5,,7,,-1,,32,,34,,102,,0,,0,,N/A,,0,,0,,0,,0,,1,,38,,0.053
Scott Hannan,SAN,58,,2,,5,,7,,0,,26,,32,,69,,0,,0,,N/A,,0,,0,,0,,0,,0,,53,,0.038
Brian Strait,NYI,52,,2,,5,,7,,-1,,32,,124,,85,,0,,1,,0,,0,,0,,0,,1,,0,,59,,0.034
Connor Murphy,ARI,73,,4,,3,,7,,-27,,42,,137,,142,,0,,1,,0,,0,,0,,0,,0,,0,,72,,0.056
Adam McQuaid,BOS,63,,1,,6,,7,,-2,,85,,141,,91,,0,,1,,0,,0,,0,,0,,0,,0,,60,,0.017
Kevan Miller,BOS,41,,2,,5,,7,,20,,15,,87,,60,,0,,0,,N/A,,0,,0,,0,,0,,1,,37,,0.054
Marc-Andre Cliche,COL,74,,2,,5,,7,,-2,,17,,27,,28,,377,,358,,0.513,,0,,0,,0,,0,,0,,68,,0.029
Mike Weber,BUF,64,,1,,6,,7,,-22,,68,,172,,168,,0,,0,,N/A,,0,,0,,0,,1,,0,,41,,0.024
Anthony Duclair,ARI,18,,1,,6,,7,,4,,4,,6,,5,,0,,0,,N/A,,0,,1,,0,,0,,0,,18,,0.056
Damien Brunner,NJD,17,,2,,5,,7,,-1,,8,,7,,3,,2,,2,,0.5,,0,,4,,0,,0,,0,,29,,0.069
Stephane Robidas,TOR,52,,1,,6,,7,,8,,34,,141,,75,,0,,0,,N/A,,0,,0,,0,,1,,0,,34,,0.029
Anton Volchenkov,NAS,46,,0,,7,,7,,4,,14,,93,,48,,0,,0,,N/A,,0,,0,,0,,0,,0,,35,,0
Sven Baertschi,VAN,18,,2,,4,,6,,-3,,10,,8,,7,,0,,0,,N/A,,0,,0,,0,,0,,0,,15,,0.133
Andrew Miller,EDM,9,,1,,5,,6,,-2,,0,,7,,6,,1,,1,,0.5,,0,,0,,0,,0,,0,,14,,0.071
Jacob De La Rose,MON,33,,4,,2,,6,,-5,,12,,71,,24,,64,,96,,0.4,,0,,0,,1,,0,,0,,38,,0.105
Mikhail Grigorenko,COL,25,,3,,3,,6,,-10,,2,,28,,15,,153,,178,,0.462,,1,,1,,0,,0,,0,,35,,0.086
Scott Laughton,PHI,31,,2,,4,,6,,-1,,17,,58,,11,,134,,149,,0.474,,0,,1,,0,,0,,0,,51,,0.039
