Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Justin Abdelkader,DET,28,,9,,8,,17,,0,,27,,69,,8,,4,,7,,0.364,,4,,1,,0,,0,,2,,51,,0.176
Mikael Granlund,MIN,26,,3,,14,,17,,4,,12,,28,,23,,180,,189,,0.488,,0,,5,,0,,0,,1,,46,,0.065
Oscar Lindberg,NYR,29,,10,,7,,17,,6,,18,,63,,19,,74,,73,,0.503,,1,,2,,0,,0,,1,,56,,0.179
Jonathan Toews,CHI,28,,8,,8,,16,,6,,28,,36,,11,,354,,231,,0.605,,1,,1,,1,,1,,2,,65,,0.123
Brock Nelson,NYI,29,,9,,7,,16,,0,,6,,29,,24,,31,,35,,0.47,,1,,1,,0,,0,,0,,54,,0.167
Jannik Hansen,VAN,30,,8,,8,,16,,9,,10,,12,,12,,1,,2,,0.333,,0,,0,,0,,0,,1,,52,,0.154
Teddy Purcell,EDM,29,,5,,11,,16,,-2,,2,,14,,6,,0,,2,,0,,1,,2,,0,,0,,1,,60,,0.083
Anze Kopitar,LOS,27,,8,,8,,16,,14,,6,,26,,21,,303,,276,,0.523,,1,,1,,0,,1,,2,,47,,0.17
Leo Komarov,TOR,28,,10,,6,,16,,0,,12,,129,,9,,16,,17,,0.485,,2,,1,,1,,0,,1,,54,,0.185
Boone Jenner,COB,29,,11,,5,,16,,-7,,20,,73,,23,,24,,29,,0.453,,4,,2,,0,,0,,2,,76,,0.145
Vincent Trocheck,FLA,28,,8,,8,,16,,-6,,10,,38,,19,,131,,148,,0.47,,3,,3,,0,,0,,1,,48,,0.167
Jarome Iginla,COL,29,,8,,8,,16,,-10,,17,,22,,15,,20,,17,,0.541,,3,,3,,0,,0,,1,,69,,0.116
Kris Versteeg,CAR,27,,3,,13,,16,,1,,12,,8,,14,,5,,6,,0.455,,0,,5,,0,,0,,1,,49,,0.061
Tyler Bozak,TOR,24,,4,,12,,16,,-2,,8,,17,,11,,240,,207,,0.537,,1,,6,,0,,0,,0,,37,,0.108
Joe Thornton,SAN,28,,4,,12,,16,,5,,20,,22,,15,,138,,137,,0.502,,3,,2,,0,,0,,2,,39,,0.103
Michael Frolik,CGY,27,,7,,8,,15,,2,,4,,27,,23,,0,,3,,0,,0,,0,,0,,0,,2,,71,,0.099
Jonathan Huberdeau,FLA,28,,3,,12,,15,,-3,,12,,28,,8,,3,,6,,0.333,,2,,3,,0,,0,,1,,66,,0.045
Anthony Duclair,ARI,28,,8,,7,,15,,0,,16,,15,,11,,0,,0,,N/A,,3,,1,,0,,0,,2,,33,,0.242
Dale Weise,MON,29,,9,,6,,15,,3,,12,,54,,15,,14,,10,,0.583,,2,,2,,0,,0,,1,,65,,0.138
Cam Atkinson,COB,28,,6,,9,,15,,-1,,4,,18,,15,,0,,2,,0,,1,,1,,1,,0,,2,,71,,0.085
Jakub Voracek,PHI,28,,1,,14,,15,,-9,,8,,24,,10,,2,,2,,0.5,,0,,9,,0,,0,,1,,81,,0.012
Wayne Simmonds,PHI,28,,7,,8,,15,,-11,,42,,70,,14,,2,,0,,1,,2,,2,,0,,0,,2,,70,,0.1
Marcus Johansson,WAS,25,,5,,10,,15,,9,,2,,14,,6,,3,,7,,0.3,,2,,1,,0,,0,,3,,46,,0.109
